grid_id,pedestrian_10h,pedestrian_18h,pedestrian_22h,pattern
G007204,393.50788975879897,325.2867973928651,176.33761433979308,"10h=393.5079, 18h=325.2868, 22h=176.3376"
G002181,326.880485285106,324.387819916567,261.06705623507156,"10h=326.8805, 18h=324.3878, 22h=261.0671"
G002182,326.880485285106,324.387819916567,261.06705623507156,"10h=326.8805, 18h=324.3878, 22h=261.0671"
G002292,326.880485285106,324.387819916567,261.06705623507156,"10h=326.8805, 18h=324.3878, 22h=261.0671"
G002293,326.880485285106,324.387819916567,261.06705623507156,"10h=326.8805, 18h=324.3878, 22h=261.0671"
G002294,326.880485285106,324.387819916567,261.06705623507156,"10h=326.8805, 18h=324.3878, 22h=261.0671"
G002407,326.880485285106,324.387819916567,261.06705623507156,"10h=326.8805, 18h=324.3878, 22h=261.0671"
G007068,388.58267989109305,322.93240786352203,229.68263384420126,"10h=388.5827, 18h=322.9324, 22h=229.6826"
G006648,339.99848939112894,322.5084146507889,250.81523529364406,"10h=339.9985, 18h=322.5084, 22h=250.8152"
G002408,323.49034202071635,320.5695051540321,258.0408100513617,"10h=323.4903, 18h=320.5695, 22h=258.0408"
G002806,359.81014918984573,320.08276531905676,223.03739403462384,"10h=359.8101, 18h=320.0828, 22h=223.0374"
G006511,390.27959649601223,318.99978916679447,175.1765642403855,"10h=390.2796, 18h=318.9998, 22h=175.1766"
G006788,343.08854839121375,318.0013545889108,258.06426928608767,"10h=343.0885, 18h=318.0014, 22h=258.0643"
G008124,142.09523129301326,317.94382734131193,150.2826863438301,"10h=142.0952, 18h=317.9438, 22h=150.2827"
G006348,170.41069329837774,317.8879635198539,272.00371364312116,"10h=170.4107, 18h=317.8880, 22h=272.0037"
G008122,135.8818419850487,317.36729804328786,175.15459941270947,"10h=135.8818, 18h=317.3673, 22h=175.1546"
G006068,275.1142460761462,316.86767773845776,642.9780515390294,"10h=275.1142, 18h=316.8677, 22h=642.9781"
G008381,141.2614431797306,316.2911006222478,185.37207804655074,"10h=141.2614, 18h=316.2911, 22h=185.3721"
G013908,354.57704342945834,316.1045177113351,414.8673414490789,"10h=354.5770, 18h=316.1045, 22h=414.8673"
G004596,391.12955959393145,312.4240852071225,142.72314008639756,"10h=391.1296, 18h=312.4241, 22h=142.7231"
G004468,389.65223971669786,311.1122715441089,142.2559689440036,"10h=389.6522, 18h=311.1123, 22h=142.2560"
G014810,249.1443130836052,308.2795289086708,412.3508269331993,"10h=249.1443, 18h=308.2795, 22h=412.3508"
G006330,347.05040906962125,305.6194417550926,258.05461600999695,"10h=347.0504, 18h=305.6194, 22h=258.0546"
G006074,362.09953027007975,305.3626020732887,168.73697811868774,"10h=362.0995, 18h=305.3626, 22h=168.7370"
G008254,137.74414035668252,305.3106204487191,143.71456871568336,"10h=137.7441, 18h=305.3106, 22h=143.7146"
G002495,342.39257711073685,303.8712395941672,136.31360349254442,"10h=342.3926, 18h=303.8712, 22h=136.3136"
G002496,342.39257711073685,303.8712395941672,136.31360349254442,"10h=342.3926, 18h=303.8712, 22h=136.3136"
G002497,342.39257711073685,303.8712395941672,136.31360349254442,"10h=342.3926, 18h=303.8712, 22h=136.3136"
G002611,342.39257711073685,303.8712395941672,136.31360349254442,"10h=342.3926, 18h=303.8712, 22h=136.3136"
G002612,342.39257711073685,303.8712395941672,136.31360349254442,"10h=342.3926, 18h=303.8712, 22h=136.3136"
G002613,342.39257711073685,303.8712395941672,136.31360349254442,"10h=342.3926, 18h=303.8712, 22h=136.3136"
G002726,342.39257711073685,303.8712395941672,136.31360349254442,"10h=342.3926, 18h=303.8712, 22h=136.3136"
G002727,342.39257711073685,303.8712395941672,136.31360349254442,"10h=342.3926, 18h=303.8712, 22h=136.3136"
G002841,342.39257711073685,303.8712395941672,136.31360349254442,"10h=342.3926, 18h=303.8712, 22h=136.3136"
G002842,342.39257711073685,303.8712395941672,136.31360349254442,"10h=342.3926, 18h=303.8712, 22h=136.3136"
G005660,379.44754595262907,303.47237767173726,149.24279003988363,"10h=379.4475, 18h=303.4724, 22h=149.2428"
G002610,342.1545226759738,303.4207498010999,136.52963469674273,"10h=342.1545, 18h=303.4207, 22h=136.5296"
G006080,373.25002726013577,303.33674824448264,166.86538345989112,"10h=373.2500, 18h=303.3367, 22h=166.8654"
G002498,341.7496039444081,303.28675984843323,136.0888357576045,"10h=341.7496, 18h=303.2868, 22h=136.0888"
G006212,145.94145578154053,303.212664315112,309.3586775957814,"10h=145.9415, 18h=303.2127, 22h=309.3587"
G002381,341.9190129911557,303.0201517601498,135.64125883611823,"10h=341.9190, 18h=303.0202, 22h=135.6413"
G003493,322.246920181627,302.81869298081153,139.8364472738206,"10h=322.2469, 18h=302.8187, 22h=139.8364"
G014533,308.96849562251015,301.4883695666082,312.5160783657228,"10h=308.9685, 18h=301.4884, 22h=312.5161"
G002180,305.5423787008525,300.4550376410266,242.239679459661,"10h=305.5424, 18h=300.4550, 22h=242.2397"
G014785,429.5695868344037,299.1403845701475,366.0640976770511,"10h=429.5696, 18h=299.1404, 22h=366.0641"
G006069,266.36906998700846,298.82220173423946,577.8341393582151,"10h=266.3691, 18h=298.8222, 22h=577.8341"
G002843,334.92091993755884,297.07930407728566,133.7016944005186,"10h=334.9209, 18h=297.0793, 22h=133.7017"
G005254,371.98056595627475,295.108684904833,141.59854067647316,"10h=371.9806, 18h=295.1087, 22h=141.5985"
G002295,299.6529613004974,293.8274817804357,236.60853108837802,"10h=299.6530, 18h=293.8275, 22h=236.6085"
G002725,336.9713905913558,293.61228686461266,141.2332574915608,"10h=336.9714, 18h=293.6123, 22h=141.2333"
G002728,331.0695462090462,293.57830270514387,132.35534809137545,"10h=331.0695, 18h=293.5783, 22h=132.3553"
G002956,333.2798917295877,293.09768122605317,132.31550768512858,"10h=333.2799, 18h=293.0977, 22h=132.3155"
G006753,456.74285073879145,291.2021425535759,156.44103632628853,"10h=456.7429, 18h=291.2021, 22h=156.4410"
G006044,321.58993588926876,290.1873005288526,303.4087812273568,"10h=321.5899, 18h=290.1873, 22h=303.4088"
G013907,326.6494608761225,289.64116890973315,382.87991610307836,"10h=326.6495, 18h=289.6412, 22h=382.8799"
G002291,301.0521429177877,289.2495992003869,250.28480413227138,"10h=301.0521, 18h=289.2496, 22h=250.2848"
G005656,322.7344872228987,287.2800329482524,234.02618994531556,"10h=322.7345, 18h=287.2800, 22h=234.0262"
